yearlab,GDPC1,GDPPOT,UNRATE,FEDFUNDS,CPITOT,AVG2_SCORE,AVG2_TOT,GPDIC1,PCE,EPU
2005.25,14.8,14.2,5.1,2.9,81.7,25.27062158,29.35795344,2.6,8.7,93.6387
2005.5,15,14.3,5,3.5,82.9,26.24841113,34.24962153,2.7,8.8,111.9752
2005.75,15.1,14.4,5,4,83.7,25.61023239,22.20247579,2.7,8.9,119.6742833
2006,15.3,14.5,4.7,4.5,84.2,25.74323831,22.94327233,2.8,9.1,104.4722267
2006.25,15.3,14.6,4.6,4.9,84.9,25.57720892,27.15478684,2.8,9.2,107.44528
2006.5,15.3,14.6,4.6,5.3,85.7,25.03498938,30.96418084,2.8,9.3,122.2726333
2006.75,15.5,14.7,4.4,5.3,85.4,24.19863727,30.76108513,2.7,9.4,121.8280433
2007,15.5,14.8,4.5,5.3,86.2,25.04363865,35.7303237,2.7,9.5,94.32765
2007.25,15.6,14.8,4.5,5.3,87.2,25.34051377,45.15590779,2.7,9.6,108.2046467
2007.5,15.7,14.9,4.7,5.1,87.7,25.1266945,37.39379725,2.7,9.8,101.9196267
2007.75,15.8,15,4.8,4.5,88.8,24.95114149,32.59336439,2.7,9.9,122.3053167
2008,15.7,15.1,5,3.2,89.8,25.28033533,31.28038764,2.6,9.9,143.9671667
2008.25,15.8,15.1,5.3,2.1,90.9,25.05503749,36.38748272,2.5,10.1,182.6079333
2008.5,15.7,15.2,6,1.9,92.3,25.37253699,47.62072005,2.5,10.1,133.4967667
2008.75,15.3,15.3,6.9,0.5,90.2,25.13779125,24.40989718,2.2,9.8,180.7750333
2009,15.2,15.3,8.3,0.2,89.6,25.7109198,46.7132124,2,9.8,235.5554333
2009.25,15.1,15.4,9.3,0.2,90.1,24.51968287,46.56585633,1.9,9.8,223.9836667
2009.5,15.2,15.4,9.6,0.2,90.9,25.07432381,41.77890244,1.9,9.9,150.8877667
2009.75,15.4,15.5,9.9,0.1,91.6,25.633525,39.72185471,2,10,145.6246667
2010,15.4,15.5,9.8,0.1,91.7,25.21557337,41.6421575,2.1,10,139.3547333
2010.25,15.6,15.5,9.6,0.2,91.7,25.08943838,38.0858002,2.2,10.1,166.8074667
2010.5,15.7,15.6,9.5,0.2,91.9,25.47413729,37.93160905,2.3,10.2,165.8072667
2010.75,15.8,15.6,9.5,0.2,92.7,24.83245162,28.80564449,2.3,10.4,217.5608667
2011,15.7,15.6,9,0.2,93.7,25.23234447,34.54613685,2.2,10.5,197.074
2011.25,15.8,15.7,9.1,0.1,94.7,25.4175895,41.31609605,2.3,10.6,171.1934333
2011.5,15.8,15.7,9,0.1,95.4,25.83421571,49.37993051,2.3,10.7,169.6601
2011.75,16,15.8,8.6,0.1,95.8,24.85096353,42.85697783,2.5,10.8,288.8154667
2012,16.1,15.8,8.3,0.1,96.3,25.22447746,43.23518516,2.6,10.9,197.1604333
2012.25,16.2,15.9,8.2,0.2,96.5,25.45420205,48.78931921,2.6,11,160.7231333
2012.5,16.2,16,8,0.1,97,25.22826314,45.16146303,2.6,11,179.1930667
2012.75,16.2,16,7.8,0.2,97.6,24.62734435,53.0691505,2.6,11.1,197.0714333
2013,16.4,16.1,7.7,0.1,98,24.99105049,50.63238906,2.7,11.2,236.9426
